query,feature,endpoint,method,sheet,subFeature,markedCorrect,score
"Which API retrieves the alarm report for a specific monitor?","Automations","/app/api/reports/alarm/{id}","GET","Automations","Alarm Reports",true,106
"Which API retrieves the alarm report for a specific monitor?","Automations","/app/api/scheduled_reports","GET","Report Settings","Scheduled Reports",false,71
"Which API retrieves the alarm report for a specific monitor?","Automations","/app/api/monitor_groups","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,70
"Which API retrieves the alarm report for a specific monitor?","Automations","/app/api/short/forecast/monitors","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,70
"Which API retrieves the alarm report for a specific monitor?","Automations","/app/api/short/monitor_groups_list","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,70
"What endpoint fetches outage reports?","Automations","/app/api/reports/outage/{id}","PUT","Automations","Outage Reports",true,65
"What endpoint fetches outage reports?","Automations","/app/api/short/reports/custom_reports","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,43
"What endpoint fetches outage reports?","Automations","/app/api/scheduled_reports","GET","Report Settings","Scheduled Reports",false,43
"What endpoint fetches outage reports?","Automations","/app/api/public_reports","GET","Share","Public Reports",false,43
"What endpoint fetches outage reports?","Automations","/app/api/reports/custom_reports","GET","Share","Public Reports",false,43
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/short/third_party_services","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",true,44
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/short/sla_settings/monitors/2","GET","Report Settings","SLA Settings",false,37
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/short/sla_settings/monitors/3","GET","Report Settings","SLA Settings",false,37
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/sla_settings","GET","Report Settings","SLA Settings",false,37
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/sla_settings","POST","Report Settings","SLA Settings",false,37
"How do I check SLO (Service Level Objective) settings?","Automations","/app/api/sla_settings/15698000493103037","DELETE","Report Settings","SLA Settings",false,37
"List all maintenance windows configured","Automations","/app/api/maintenance","GET","Automations","Maintenance Windows",true,54
"List all maintenance windows configured","Automations","/app/api/current_maintenance_list","GET","Operations","Scheduled Maintenance",false,48
"List all maintenance windows configured","Automations","/app/api/it_automation/list","GET","Automations","IT Automation – List",false,36
"Which API shows monitor status for an IT Automation?","Automations","/app/api/it_automation/monitor/status_details/{id}","GET","Automations","IT Automation – Monitor Status",true,108
"Which API shows monitor status for an IT Automation?","Automations","/app/api/monitors/status/count","GET","Automations","Monitor Status",false,87
"Which API shows monitor status for an IT Automation?","Automations","/app/api/monitors/status/count","GET","Server Monitor","Monitor Status",false,86
"Which API shows monitor status for an IT Automation?","Automations","/app/api/short/current_status","GET","Automations","Monitor Status",false,82
"Which API shows monitor status for an IT Automation?","Automations","/app/api/short/current_status","GET","Server Monitor","Monitor Status",false,81
"Which API shows monitor status for an IT Automation?","Automations","/app/api/monitors/status/count","GET","User & Alert Management","Monitor Status",false,78
"How do I retrieve location templates used by automations?","Automations","/app/api/location_template","GET","Automations","Location Template",true,59
"How do I retrieve location templates used by automations?","Automations","/app/api/location_profiles","GET","Inventory","Location Profiles",false,40
"How do I retrieve location templates used by automations?","Automations","/app/api/location_profiles/{location_profile_id}","GET","Inventory","Location Profiles",false,40
"What endpoint lists favourite dashboards?","Automations","/app/api/short/dashboards/favourites","GET","Inventory","Dashboard",true,38
"What endpoint lists favourite dashboards?","Automations","https://www.site24x7.com/app/api/short/dashboards/favourites","GET","Configuration Profiles","General App Bootstrap (Not Section-Specific)",false,38
"How do I tag a monitor used in an automation?","Automations","/app/api/it_automation/monitor/status_details/{id}","GET","Automations","IT Automation – Monitor Status",true,66
"How do I tag a monitor used in an automation?","Automations","/app/api/tags/monitors","GET","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,62
"How do I tag a monitor used in an automation?","Automations","/app/api/monitors/details_page/base/{id}","GET","Automations","Monitor Details",false,60
"How do I tag a monitor used in an automation?","Automations","/app/client/templates/monitors-form/add-schedule_it_automation.json","GET","Operations","Schedule IT Automation",false,55
"How do I tag a monitor used in an automation?","Automations","/app/api/current_status/type/SCHEDULE_IT_AUTOMATION","GET","Automations","IT Automation – CRUD",false,53
"How do I tag a monitor used in an automation?","Automations","/app/api/monitors","POST","Operations","Operations (Supporting lookup, used by multiple sub-features)",false,53
"Show me all Zia AI workflow APIs","Zia Settings","/app/api/genai/workflows","GET","Zia Settings","AI Workflow – CRUD",true,73
"Show me all Zia AI workflow APIs","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",false,67
"Show me all Zia AI workflow APIs","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,67
"Show me all Zia AI workflow APIs","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,67
"Show me all Zia AI workflow APIs","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,67
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685848","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",true,29
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685850","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",false,29
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685852","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",false,29
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685854","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",false,29
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685856","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",false,29
"How do I get AI-generated recommendations?","Zia Settings","/app/api/dashboards/widgets/15698000407685858","GET","Operations","Operations (Dashboard widget rendering, unrelated to a specific sub-feature)",false,29
"What API lists AI data collections?","Zia Settings","/app/api/genai/collections","GET","Zia Settings","AI Collections",true,85
"What API lists AI data collections?","Zia Settings","/app/api/maintenance","GET","Operations","Scheduled Maintenance",false,69
"What API lists AI data collections?","Zia Settings","/app/api/maintenance","POST","Operations","Scheduled Maintenance",false,60
"What API lists AI data collections?","Zia Settings","/app/api/maintenance/15698000489363071","PUT","Operations","Scheduled Maintenance",false,60
"What API lists AI data collections?","Zia Settings","/sp/api/statuspages/15698000418173443/summary_details","GET","Operations","Status Pages (StatusIQ)",false,59
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",true,79
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,79
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,79
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,79
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,79
"Which endpoint retrieves a specific AI workflow by name?","Zia Settings","/app/api/genai/workflow/testagent","GET","Zia Settings","AI Workflow – CRUD",false,79
"How do I fetch the list of monitors available to the AI module?","Zia Settings","/app/api/genai/module/monitorlist","GET","Zia Settings","AI Module – Monitor List",true,108
"What API retrieves AI task definitions?","Zia Settings","/app/api/genai/tasks","GET","Zia Settings","AI Tasks",true,85
"What API retrieves AI task definitions?","Zia Settings","/app/api/maintenance","GET","Automations","Maintenance Windows",false,56
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",true,84
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,71
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,71
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,71
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,71
"How do I check the status of the alarms assistant AI workflow?","Zia Settings","/app/api/genai/workflow/website_assistant","GET","Zia Settings","AI Workflow – CRUD",false,71
"Which endpoint configures the underlying AI/bot model?","Zia Settings","/app/api/bot/models","GET","Zia Settings","Bot / AI Models",true,29
"Which endpoint configures the underlying AI/bot model?","Zia Settings","https://www.site24x7.com/app/api/bot/models","GET","Configuration Profiles","Unrelated (AI Assistant Widget)",false,19
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",true,78
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,78
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,78
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,78
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,78
"How do I retrieve the Kubernetes AI assistant workflow?","Zia Settings","/app/api/genai/workflow/website_assistant","GET","Zia Settings","AI Workflow – CRUD",false,78
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",true,68
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",false,55
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,55
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,55
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,55
"What API powers the APM AI assistant?","Zia Settings","/app/api/genai/workflow/website_assistant","GET","Zia Settings","AI Workflow – CRUD",false,55
"How do I list curated AI monitor collections?","Zia Settings","/app/api/genai/module/monitorlist","GET","Zia Settings","AI Module – Monitor List",true,87
"How do I list curated AI monitor collections?","Zia Settings","/app/api/genai/collections","GET","Server Monitor","AI / Collections",false,74
"How do I list curated AI monitor collections?","Zia Settings","/app/api/genai/collections","GET","Zia Settings","AI Collections",false,65
"How do I list curated AI monitor collections?","Zia Settings","/app/api/monitors/details_page/base/{id}","GET","Automations","Monitor Details",false,59
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",true,55
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",false,42
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,42
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,42
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,42
"Which endpoint handles the problems assistant workflow?","Zia Settings","/app/api/genai/workflow/website_assistant","GET","Zia Settings","AI Workflow – CRUD",false,42
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflows","GET","Inventory","AI / Workflows",true,67
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflow/alarms_assistant","GET","Zia Settings","AI Workflow – CRUD",false,65
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflow/apm_assistant","GET","Zia Settings","AI Workflow – CRUD",false,65
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflow/kubernets_assistant","GET","Zia Settings","AI Workflow – CRUD",false,65
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflow/problems_assistant","GET","Zia Settings","AI Workflow – CRUD",false,65
"What field identifies a specific AI workflow?","Zia Settings","/app/api/genai/workflow/server_assistant","GET","Zia Settings","AI Workflow – CRUD",false,65
"How do I check AI recommendation status?","Zia Settings","/sp/api/statuspages/15698000418173443/summary_details","GET","Operations","Status Pages (StatusIQ)",true,70
"How do I check AI recommendation status?","Zia Settings","/app/api/genai/recommendation","GET","Zia Settings","AI Recommendations",false,58
"How do I check AI recommendation status?","Zia Settings","/sp/api/statuspages/15698000418173443/components/summary_details/15698000425317040","GET","Operations","Status Pages (StatusIQ)",false,55
"How do I check AI recommendation status?","Zia Settings","/sp/api/statuspages/15698000418173443/components/summary_details/15698000447030031","GET","Operations","Status Pages (StatusIQ)",false,55
"How do I check AI recommendation status?","Zia Settings","/app/api/it_automation/monitor/status_details/{id}","GET","Automations","IT Automation – Monitor Status",false,48
"How do I check AI recommendation status?","Zia Settings","/app/api/maintenance/bulk_action/status","GET","Operations","Scheduled Maintenance",false,48
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/genai/module/monitorlist","GET","Zia Settings","AI Module – Monitor List",true,47
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/metrics/list/METRICS","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,44
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,44
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/short/monitor_groups_list","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,44
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/short/sla_settings/monitors/2","GET","Report Settings","SLA Settings",false,37
"List all AI-related endpoints in Zia Settings","Zia Settings","/app/api/short/sla_settings/monitors/3","GET","Report Settings","SLA Settings",false,37
"List all server templates configured","Server Monitor","/app/api/server_templates","GET","Server Monitor","Server Templates",true,73
"List all server templates configured","Server Monitor","/app/api/short/server_templates","GET","Inventory","Server Templates",false,69
"How do I create a new Resource Profile?","Server Monitor","/app/api/resource_profile/{id}","GET","Server Monitor","Resource Profile – CRUD",true,65
"How do I create a new Resource Profile?","Server Monitor","/app/api/resource_profile","GET","Server Monitor","Resource Profiles",false,65
"How do I create a new Resource Profile?","Server Monitor","/app/api/short/resource_profile","GET","Inventory","Resource Profiles",false,58
"How do I create a new Resource Profile?","Server Monitor","https://www.site24x7.com/app/api/metric_profiles","POST","Configuration Profiles","Metric Profile",false,58
"How do I create a new Resource Profile?","Server Monitor","/app/api/resource_profile/associated_monitors","GET","Server Monitor","Resource Profile – Associated Monitors",false,58
"How do I create a new Resource Profile?","Server Monitor","/app/api/monitors_with_resource_profile/{id}","GET","Server Monitor","Resource Profile – CRUD",false,58
"Which monitors are associated with a given Resource Profile?","Server Monitor","/app/api/resource_profile/associated_monitors","GET","Server Monitor","Resource Profile – Associated Monitors",true,116
"Which monitors are associated with a given Resource Profile?","Server Monitor","/app/api/setting_profile/associated_monitors","GET","Server Monitor","Setting Profile – Associated Monitors",false,87
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/setting_profile","GET","Server Monitor","Setting Profiles",true,89
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/setting_profile/associated_monitors","GET","Server Monitor","Setting Profile – Associated Monitors",false,88
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/setting_profile/{id}","PUT","Server Monitor","Setting Profile – CRUD",false,76
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/short/sla_settings/monitors/2","GET","Report Settings","SLA Settings",false,75
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/short/sla_settings/monitors/3","GET","Report Settings","SLA Settings",false,75
"What API manages Server Monitor Setting Profiles?","Server Monitor","/app/api/short/setting_profile","GET","Inventory","Setting Profiles",false,73
"How do I check available agent upgrade versions?","Server Monitor","/app/api/short/server/agent_upgradable_versions","GET","Server Monitor","Agent Upgrade Versions",true,82
"How do I check available agent upgrade versions?","Server Monitor","https://www.site24x7.com/app/api/short/server/agent_upgradable_versions","GET","Configuration Profiles","Auto Upgrade Profile",false,56
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","https://www.site24x7.com/app/api/short/server/upgrade_profile_types","GET","Configuration Profiles","Auto Upgrade Profile",true,79
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","/app/api/short/server/upgrade_profile_types","GET","Server Monitor","Upgrade Profile – CRUD",false,79
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","https://www.site24x7.com/app/api/upgrade_profile","POST","Configuration Profiles","Auto Upgrade Profile",false,78
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","/app/api/upgrade_profile/{id}","GET","Server Monitor","Upgrade Profile – CRUD",false,74
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","/app/api/upgrade_profiles/FULLSTACK_AGENT","GET","Server Monitor","Upgrade Profiles",false,74
"Which endpoint creates an Upgrade Profile for server agents?","Server Monitor","/app/api/upgrade_profile/{id}","PUT","Server Monitor","Upgrade Profile – CRUD",false,72
"What API retrieves APM Auto Profiler Rules?","Server Monitor","/app/api/apminsight/auto_profiler_rules/{id}","GET","Server Monitor","APM Auto Profiler Rules",true,112
"What API retrieves APM Auto Profiler Rules?","Server Monitor","/app/api/short/apminsight/auto_profiler_rules","GET","Server Monitor","APM Auto Profiler Rules",false,111
"What API retrieves APM Auto Profiler Rules?","Server Monitor","/app/api/apminsight/auto_profiler_rules/{id}/DISABLE","PUT","Server Monitor","APM Auto Profiler Rules",false,105
"How do I disable a specific Auto Profiler Rule?","Server Monitor","/app/api/apminsight/auto_profiler_rules/{id}/DISABLE","PUT","Server Monitor","APM Auto Profiler Rules",true,88
"How do I disable a specific Auto Profiler Rule?","Server Monitor","/app/api/apminsight/auto_profiler_rules/{id}","GET","Server Monitor","APM Auto Profiler Rules",false,82
"How do I disable a specific Auto Profiler Rule?","Server Monitor","/app/api/short/apminsight/auto_profiler_rules","GET","Server Monitor","APM Auto Profiler Rules",false,82
"List notification profiles used for server monitors","Server Monitor","/app/api/short/notification_profiles","GET","Server Monitor","Notification Profiles",true,74
"List notification profiles used for server monitors","Server Monitor","https://www.site24x7.com/app/api/notification_profiles","GET","Configuration Profiles","Notification Profile",false,70
"List notification profiles used for server monitors","Server Monitor","/app/api/short/threshold_profiles/SERVER","GET","Server Monitor","Threshold Profiles",false,57
"List notification profiles used for server monitors","Server Monitor","https://www.site24x7.com/app/api/notification_profiles","POST","Configuration Profiles","Notification Profile",false,55
"List notification profiles used for server monitors","Server Monitor","https://www.site24x7.com/app/api/notification_profiles/{id}","PUT","Configuration Profiles","Notification Profile",false,55
"What field holds the threshold values for a server profile?","Server Monitor","/app/api/short/threshold_profiles/SERVER","GET","Server Monitor","Threshold Profiles",true,86
"What field holds the threshold values for a server profile?","Server Monitor","/app/api/short/threshold_profiles","GET","Inventory","Threshold Profiles",false,74
"What field holds the threshold values for a server profile?","Server Monitor","/app/api/short/threshold_profiles/{monitor_type}","GET","Inventory","Threshold Profiles",false,74
"What field holds the threshold values for a server profile?","Server Monitor","https://www.site24x7.com/app/api/threshold_profiles/{id}","GET","Configuration Profiles","Threshold and Availability",false,70
"What field holds the threshold values for a server profile?","Server Monitor","https://www.site24x7.com/app/api/threshold_profiles","POST","Configuration Profiles","Threshold and Availability",false,66
"What field holds the threshold values for a server profile?","Server Monitor","https://www.site24x7.com/app/api/threshold_profiles/{id}","PUT","Configuration Profiles","Threshold and Availability",false,66
"How do I check which features are available for server monitoring?","Server Monitor","/app/api/short/server_features","GET","Server Monitor","Server Features",true,73
"How do I check which features are available for server monitoring?","Server Monitor","/app/api/server_templates","GET","Server Monitor","Server Templates",false,51
"Which API lists monitors using a specific server template?","Server Monitor","/app/api/server_templates","GET","Server Monitor","Server Templates",true,86
"Which API lists monitors using a specific server template?","Server Monitor","/app/api/template_associated_monitors","GET","Server Monitor","Server Templates – Associated",false,86
"Which API lists monitors using a specific server template?","Server Monitor","/app/api/short/server_templates","GET","Inventory","Server Templates",false,78
"Which API lists monitors using a specific server template?","Server Monitor","/app/api/resource_profile/associated_monitors","GET","Server Monitor","Resource Profile – Associated Monitors",false,65
"Which API lists monitors using a specific server template?","Server Monitor","/app/api/setting_profile/associated_monitors","GET","Server Monitor","Setting Profile – Associated Monitors",false,65
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","/app/api/short/threshold_profiles/SERVER","GET","Server Monitor","Threshold Profiles",true,88
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","/app/api/short/threshold_profiles/{monitor_type}","GET","Inventory","Threshold Profiles",false,77
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","/app/api/short/threshold_profiles","GET","Inventory","Threshold Profiles",false,70
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","/app/api/monitor_groups","GET","Server Monitor","Monitor Groups",false,68
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","/app/api/threshold_profiles","GET","Inventory","Threshold Profiles",false,65
"How do I retrieve threshold profiles for Server Monitor?","Server Monitor","https://www.site24x7.com/app/api/monitor_thresholds","GET","Configuration Profiles","Threshold and Availability",false,63
"What endpoint shows monitor resource support details?","Server Monitor","/app/api/short/monitors_resource_supported","GET","Server Monitor","Monitor Resource Support",true,102
"How do I view monitor groups tied to server monitoring?","Server Monitor","/app/api/monitor_groups","GET","Server Monitor","Monitor Groups",true,82
"How do I view monitor groups tied to server monitoring?","Server Monitor","/app/api/short/monitor_groups","GET","Server Monitor","Monitor Groups",false,75
"How do I view monitor groups tied to server monitoring?","Server Monitor","/app/api/monitors/pollergroups","GET","Inventory","Poller Groups",false,59
"How do I view monitor groups tied to server monitoring?","Server Monitor","/app/api/short/server_features","GET","Server Monitor","Server Features",false,59
"How do I view monitor groups tied to server monitoring?","Server Monitor","/app/api/server_templates","GET","Server Monitor","Server Templates",false,59
"How do I enable plugin auto-discovery?","Plugin Monitor","/app/api/plugin_configurations","PUT","Plugin Monitor","Settings (Auto-Discovery Toggle)",true,55
"How do I enable plugin auto-discovery?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",false,37
"How do I enable plugin auto-discovery?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,37
"What API toggles the plugin auto-discovery setting?","Plugin Monitor","/app/api/plugin_configurations","PUT","Plugin Monitor","Settings (Auto-Discovery Toggle)",true,85
"What API toggles the plugin auto-discovery setting?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,70
"What API toggles the plugin auto-discovery setting?","Plugin Monitor","/app/api/short/plugins","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,63
"What API toggles the plugin auto-discovery setting?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",false,56
"List all plugin templates registered on the account","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",true,64
"Which endpoint fetches a specific plugin template's details?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",true,80
"Which endpoint fetches a specific plugin template's details?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,80
"Which endpoint fetches a specific plugin template's details?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,59
"Which endpoint fetches a specific plugin template's details?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Share","Share (Supporting lookup, used by multiple sub-features)",false,59
"How do I check the current plugin configuration?","Plugin Monitor","/app/api/plugin_configurations","PUT","Plugin Monitor","Settings (Auto-Discovery Toggle)",true,51
"How do I check the current plugin configuration?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",false,37
"How do I check the current plugin configuration?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,37
"How do I check the current plugin configuration?","Plugin Monitor","https://www.site24x7.com/app/api/plugin/list_threshold_profiles/PLUGIN","GET","Configuration Profiles","Threshold and Availability",false,35
"What field shows the number of attributes a plugin template reports?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",true,70
"What field shows the number of attributes a plugin template reports?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",false,66
"What field shows the number of attributes a plugin template reports?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,66
"How do I update the plugin monitor settings?","Plugin Monitor","/app/api/plugin_configurations","PUT","Plugin Monitor","Settings (Auto-Discovery Toggle)",true,65
"How do I update the plugin monitor settings?","Plugin Monitor","/app/api/short/sla_settings/monitors/2","GET","Report Settings","SLA Settings",false,56
"How do I update the plugin monitor settings?","Plugin Monitor","/app/api/short/sla_settings/monitors/3","GET","Report Settings","SLA Settings",false,56
"How do I update the plugin monitor settings?","Plugin Monitor","/app/api/short/plugins","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,52
"Which API retrieves the iNodeMon plugin template?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",true,85
"Which API retrieves the iNodeMon plugin template?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,85
"Which API retrieves the iNodeMon plugin template?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,64
"Which API retrieves the iNodeMon plugin template?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Share","Share (Supporting lookup, used by multiple sub-features)",false,64
"What endpoint is used to view a Redis plugin template?","Plugin Monitor","/app/api/plugin/template/275039000043639001","GET","Plugin Monitor","Plugin Template Config",true,73
"What endpoint is used to view a Redis plugin template?","Plugin Monitor","/app/api/plugin/template/275039000043641001","GET","Plugin Monitor","Plugin Template Config",false,73
"What endpoint is used to view a Redis plugin template?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",false,69
"What endpoint is used to view a Redis plugin template?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Share","Share (Supporting lookup, used by multiple sub-features)",false,69
"How do I list all registered plugin monitors?","Plugin Monitor","/app/api/plugin/listCustomTemplates/PLUGIN","GET","Report Settings","Report Settings (Supporting lookup, used by Scheduled Reports forms)",true,45
